password,user_id,user_type
1234,21122801,S
1235,21122802,S
1236,21122803,S
1237,21122804,S
1238,21122805,S
1239,21122806,S
1240,21122807,S
1241,21122808,S
1242,21122809,S
1243,21122810,S
1244,21122811,S
1245,21122812,S
1246,21122813,S
1247,21122814,S
10011001,1001,T
10011002,1002,T
10011003,1003,T
10011004,1004,T
10011005,1005,T
10011006,1006,T
10011007,1007,T
10011008,1008,T
10011009,1009,T
10011010,1010,T
10011011,1011,T
10011012,1012,T
10011013,1013,T
10011014,1014,T
1111,9001,A
1112,9003,A
1113,9002,A
